"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2012","Male","294",""
"Afghanistan","2012","Female","242",""
"Afghanistan","2012","Both sexes","268",""
"Afghanistan","2000","Male","349",""
"Afghanistan","2000","Female","301",""
"Afghanistan","2000","Both sexes","325",""
"Afghanistan","1990","Male","412",""
"Afghanistan","1990","Female","368",""
"Afghanistan","1990","Both sexes","389",""
"Albania","2012","Male","121",""
"Albania","2012","Female","87",""
"Albania","2012","Both sexes","104",""
"Albania","2000","Male","157",""
"Albania","2000","Female","103",""
"Albania","2000","Both sexes","130",""
"Albania","1990","Male","158",""
"Albania","1990","Female","104",""
"Albania","1990","Both sexes","133",""
"Algeria","2012","Male","165",""
"Algeria","2012","Female","122",""
"Algeria","2012","Both sexes","144",""
"Algeria","2000","Male","183",""
"Algeria","2000","Female","138",""
"Algeria","2000","Both sexes","161",""
"Algeria","1990","Male","199",""
"Algeria","1990","Female","152",""
"Algeria","1990","Both sexes","175",""
"Andorra","2012","Male","92",""
"Andorra","2012","Female","43",""
"Andorra","2012","Both sexes","68",""
"Andorra","2000","Male","126",""
"Andorra","2000","Female","50",""
"Andorra","2000","Both sexes","88",""
"Andorra","1990","Male","144",""
"Andorra","1990","Female","60",""
"Andorra","1990","Both sexes","102",""
"Angola","2012","Male","376",""
"Angola","2012","Female","336",""
"Angola","2012","Both sexes","356",""
"Angola","2000","Male","440",""
"Angola","2000","Female","390",""
"Angola","2000","Both sexes","415",""
"Angola","1990","Male","505",""
"Angola","1990","Female","409",""
"Angola","1990","Both sexes","458",""
"Antigua and Barbuda","2012","Male","203",""
"Antigua and Barbuda","2012","Female","147",""
"Antigua and Barbuda","2012","Both sexes","175",""
"Antigua and Barbuda","2000","Male","203",""
"Antigua and Barbuda","2000","Female","148",""
"Antigua and Barbuda","2000","Both sexes","176",""
"Antigua and Barbuda","1990","Male","205",""
"Antigua and Barbuda","1990","Female","143",""
"Antigua and Barbuda","1990","Both sexes","174",""
"Argentina","2012","Male","152",""
"Argentina","2012","Female","84",""
"Argentina","2012","Both sexes","118",""
"Argentina","2000","Male","179",""
"Argentina","2000","Female","92",""
"Argentina","2000","Both sexes","136",""
"Argentina","1990","Male","198",""
"Argentina","1990","Female","103",""
"Argentina","1990","Both sexes","150",""
"Armenia","2012","Male","228",""
"Armenia","2012","Female","96",""
"Armenia","2012","Both sexes","163",""
"Armenia","2000","Male","210",""
"Armenia","2000","Female","96",""
"Armenia","2000","Both sexes","149",""
"Armenia","1990","Male","280",""
"Armenia","1990","Female","135",""
"Armenia","1990","Both sexes","208",""
"Australia","2012","Male","75",""
"Australia","2012","Female","44",""
"Australia","2012","Both sexes","60",""
"Australia","2000","Male","97",""
"Australia","2000","Female","55",""
"Australia","2000","Both sexes","77",""
"Australia","1990","Male","124",""
"Australia","1990","Female","66",""
"Australia","1990","Both sexes","96",""
"Austria","2012","Male","91",""
"Austria","2012","Female","47",""
"Austria","2012","Both sexes","69",""
"Austria","2000","Male","126",""
"Austria","2000","Female","63",""
"Austria","2000","Both sexes","95",""
"Austria","1990","Male","154",""
"Austria","1990","Female","74",""
"Austria","1990","Both sexes","114",""
"Azerbaijan","2012","Male","169",""
"Azerbaijan","2012","Female","82",""
"Azerbaijan","2012","Both sexes","125",""
"Azerbaijan","2000","Male","232",""
"Azerbaijan","2000","Female","122",""
"Azerbaijan","2000","Both sexes","176",""
"Azerbaijan","1990","Male","289",""
"Azerbaijan","1990","Female","162",""
"Azerbaijan","1990","Both sexes","225",""
"Bahamas","2012","Male","153",""
"Bahamas","2012","Female","100",""
"Bahamas","2012","Both sexes","126",""
"Bahamas","2000","Male","217",""
"Bahamas","2000","Female","137",""
"Bahamas","2000","Both sexes","176",""
"Bahamas","1990","Male","193",""
"Bahamas","1990","Female","120",""
"Bahamas","1990","Both sexes","155",""
"Bahrain","2012","Male","70",""
"Bahrain","2012","Female","55",""
"Bahrain","2012","Both sexes","65",""
"Bahrain","2000","Male","104",""
"Bahrain","2000","Female","83",""
"Bahrain","2000","Both sexes","96",""
"Bahrain","1990","Male","117",""
"Bahrain","1990","Female","103",""
"Bahrain","1990","Both sexes","112",""
"Bangladesh","2012","Male","159",""
"Bangladesh","2012","Female","129",""
"Bangladesh","2012","Both sexes","145",""
"Bangladesh","2000","Male","179",""
"Bangladesh","2000","Female","172",""
"Bangladesh","2000","Both sexes","176",""
"Bangladesh","1990","Male","195",""
"Bangladesh","1990","Female","212",""
"Bangladesh","1990","Both sexes","203",""
"Barbados","2012","Male","118",""
"Barbados","2012","Female","66",""
"Barbados","2012","Both sexes","93",""
"Barbados","2000","Male","175",""
"Barbados","2000","Female","105",""
"Barbados","2000","Both sexes","140",""
"Barbados","1990","Male","188",""
"Barbados","1990","Female","109",""
"Barbados","1990","Both sexes","146",""
"Belarus","2012","Male","287",""
"Belarus","2012","Female","98",""
"Belarus","2012","Both sexes","192",""
"Belarus","2000","Male","355",""
"Belarus","2000","Female","125",""
"Belarus","2000","Both sexes","242",""
"Belarus","1990","Male","283",""
"Belarus","1990","Female","107",""
"Belarus","1990","Both sexes","195",""
"Belgium","2012","Male","99",""
"Belgium","2012","Female","57",""
"Belgium","2012","Both sexes","78",""
"Belgium","2000","Male","130",""
"Belgium","2000","Female","68",""
"Belgium","2000","Both sexes","100",""
"Belgium","1990","Male","139",""
"Belgium","1990","Female","75",""
"Belgium","1990","Both sexes","107",""
"Belize","2012","Male","160",""
"Belize","2012","Female","86",""
"Belize","2012","Both sexes","124",""
"Belize","2000","Male","204",""
"Belize","2000","Female","107",""
"Belize","2000","Both sexes","157",""
"Belize","1990","Male","162",""
"Belize","1990","Female","104",""
"Belize","1990","Both sexes","133",""
"Benin","2012","Male","284",""
"Benin","2012","Female","240",""
"Benin","2012","Both sexes","262",""
"Benin","2000","Male","335",""
"Benin","2000","Female","279",""
"Benin","2000","Both sexes","305",""
"Benin","1990","Male","318",""
"Benin","1990","Female","246",""
"Benin","1990","Both sexes","279",""
"Bhutan","2012","Male","221",""
"Bhutan","2012","Female","217",""
"Bhutan","2012","Both sexes","220",""
"Bhutan","2000","Male","304",""
"Bhutan","2000","Female","322",""
"Bhutan","2000","Both sexes","313",""
"Bhutan","1990","Male","381",""
"Bhutan","1990","Female","403",""
"Bhutan","1990","Both sexes","392",""
"Bolivia (Plurinational State of)","2012","Male","238",""
"Bolivia (Plurinational State of)","2012","Female","175",""
"Bolivia (Plurinational State of)","2012","Both sexes","206",""
"Bolivia (Plurinational State of)","2000","Male","273",""
"Bolivia (Plurinational State of)","2000","Female","208",""
"Bolivia (Plurinational State of)","2000","Both sexes","240",""
"Bolivia (Plurinational State of)","1990","Male","299",""
"Bolivia (Plurinational State of)","1990","Female","245",""
"Bolivia (Plurinational State of)","1990","Both sexes","272",""
"Bosnia and Herzegovina","2012","Male","140",""
"Bosnia and Herzegovina","2012","Female","65",""
"Bosnia and Herzegovina","2012","Both sexes","102",""
"Bosnia and Herzegovina","2000","Male","163",""
"Bosnia and Herzegovina","2000","Female","79",""
"Bosnia and Herzegovina","2000","Both sexes","119",""
"Bosnia and Herzegovina","1990","Male","181",""
"Bosnia and Herzegovina","1990","Female","86",""
"Bosnia and Herzegovina","1990","Both sexes","134",""
"Botswana","2012","Male","370",""
"Botswana","2012","Female","327",""
